WKT,ID,Use_Cat,Cons_Frame
POINT (424434.4175199863 8449408.48283866),1257,Residential,Masonry
POINT (424467.9168589094 8449408.416822713),1258,Residential,Masonry
POINT (424467.6760478552 8449422.579067577),1259,Outbuilding,Masonry
POINT (424470.93272956694 8449438.38598964),1260,Outbuilding,Masonry
POINT (424541.2312030029 8449381.294020906),1261,Residential,Masonry
POINT (424564.6467820365 8449351.204176852),1262,Outbuilding,Masonry
POINT (424141.96658579644 8449401.499276832),1263,Residential,Masonry
POINT (426785.80895448814 8449523.084544173),12933,,
POINT (427021.02079529525 8449459.01652972),16671,,
POINT (427004.3534853879 8449470.184022587),7848,,
POINT (426890.1954259907 8449313.586327996),7257,,
POINT (426071.39995987806 8449389.521210441),14314,,
POINT (426405.9098131512 8449383.43839763),14372,,
POINT (426447.67206178507 8449169.559595108),431,,
POINT (426738.8101783553 8449863.551213417),13976,,
POINT (427002.8330224659 8449556.295169815),15679,,
POINT (426089.7587695135 8449375.702551035),18351,,
POINT (426991.0039577028 8449460.433982313),9069,,
POINT (426379.95304503577 8449211.133642804),12912,,
POINT (427002.4937218467 8449572.655688846),11101,,
POINT (426690.2553083689 8449933.457333751),2863,,
POINT (426635.75630401867 8449533.0443785),11271,,
POINT (426726.3073931776 8449349.078024162),16587,,
POINT (424152.76064296043 8449420.1641156),1264,Outbuilding,Masonry
POINT (424140.21435929136 8449423.435381688),1265,Outbuilding,Masonry
POINT (424135.8546784878 8449439.34122771),1266,Outbuilding,Masonry
POINT (424013.19879599585 8449370.773251833),1267,Outbuilding,Masonry
POINT (424035.6055350494 8449505.045764407),1268,Residential,Masonry
POINT (424039.3131196455 8449522.039121859),1269,Outbuilding,Masonry
POINT (424021.68928632373 8449603.22722888),1270,Outbuilding,Masonry
POINT (423924.29687749693 8449723.246732496),1271,Residential,Masonry
POINT (423930.9124225815 8449696.831400266),1272,Outbuilding,Masonry
POINT (424063.10835864185 8449734.737570561),1273,Outbuilding,Masonry
POINT (424075.96969788044 8449754.130359918),1274,Residential,Masonry
POINT (424090.1427474548 8449831.734288359),1275,Residential,Masonry
POINT (424084.50158457726 8449772.58389202),1276,Residential,Masonry
POINT (423932.15722498443 8449803.011928363),1277,Residential,Masonry
POINT (423922.2325954483 8449899.185738234),1278,Residential,Masonry
