ID,Use_Cat,Cons_Frame,lat,long
1350,Outbuilding,Masonry,-14.020055476541987,-171.7136303881319
1351,Outbuilding,Masonry,-14.020377109628186,-171.7135908647669
1352,Outbuilding,Masonry,-14.02035140081631,-171.71393490226197
1353,Outbuilding,Masonry,-14.020196759207078,-171.71371961277666
1354,Outbuilding,Masonry,-14.020144913729737,-171.71416313862795
1355,Residential,Masonry,-14.020152993789042,-171.71436172227484
1356,Outbuilding,Masonry,-14.019977186085175,-171.7143573927448
1357,Outbuilding,Masonry,-14.019949846294875,-171.7146496018292
1358,Outbuilding,Masonry,-14.020051344426617,-171.71475762068818
1359,Outbuilding,Masonry,-14.017829234701878,-171.71766466934886
1541,Religious,Reinforced Concrete,-14.028327652121535,-171.69881306730997
1542,Residential,Masonry,-14.027965857256904,-171.6992421960175
1543,Outbuilding,Masonry,-14.028087819948823,-171.69934893617685
1544,Residential,Masonry,-14.026408901507173,-171.69766372792438
1545,Outbuilding,Masonry,-14.027051121346503,-171.70154646387553
1546,Residential,Masonry,-14.026259936242013,-171.6984765582586
1547,Residential,Masonry,-14.026856113189233,-171.6992640320317
1548,Outbuilding,Masonry,-14.025653236849017,-171.69922930073736
1549,Outbuilding,Masonry,-14.02578240887324,-171.6992598818714
1550,Residential,Masonry,-14.026297052064507,-171.70025376012683
1551,Residential,Masonry,-14.026256256102114,-171.70042280121157
1552,Outbuilding,Masonry,-14.026317495009735,-171.7006922788113
1553,Outbuilding,Masonry,-14.026342218446537,-171.70044904784837
1554,Residential,Masonry,-14.025622361378607,-171.69972393116265
9998,,,-14.023504288080115,-171.67679541888202
1342,Residential,Masonry,-14.022462285560369,-171.71153864466814
1343,Outbuilding,Masonry,-14.0222787565259,-171.7116148561488
17858,,,-14.025037718820597,-171.67668270336736
2755,,,-14.022673750001315,-171.6826439500002
17607,,,-14.024227950003345,-171.67732015000095
921,,,-14.022879165594064,-171.6826930818186
14855,,,-14.023859079444076,-171.68214408811173
3302,,,-14.02398827674718,-171.67932348495466
14746,,,-14.022883800003479,-171.68090795000185
17596,,,-14.023871950001418,-171.68053685000012
8387,,,-14.021951258246153,-171.68329022956001
