ID,Cons_Frame,Use_Cat,area,storeys,REGION
2283,Timber,Outbuilding,10.9,1,Aleipata Itupa i Lalo
2288,Masonry,Residential,161.7,1,Aleipata Itupa i Lalo
2291,Masonry,Outbuilding,47.9,1,Anoamaa East
2298,Masonry,Fale,118.0,1,Falealili
2305,Masonry,Outbuilding,56.1,1,Aleipata Itupa i Lalo
2318,Timber,Tourist Fale,28.9,1,Lepa
2319,Masonry,Outbuilding,69.8,1,Safata
2323,Masonry,Residential,206.1,1,Aleipata Itupa i Luga
2324,Masonry,Hotel,31.8,2,Aleipata Itupa i Luga
2335,Masonry,Residential,194.1,1,Safata
2337,Masonry,Residential,147.2,1,Aleipata Itupa i Luga
2338,Masonry,Commercial,495.2,2,Lotofaga
2338,Masonry,Outbuilding,47.3,1,Aleipata Itupa i Lalo
2347,Timber,Hotel,76.8,1,Aleipata Itupa i Luga
2348,Masonry,Outbuilding,39.0,1,Falealili
2349,Masonry,Residential,175.7,1,Vaa o Fonoti
2353,Masonry,Residential,757.0,1,Siumu
2355,Masonry,Hotel,44.9,2,Lotofaga
2360,Masonry,Outbuilding,73.5,1,Safata
2365,Masonry,Residential,154.2,1,Vaa o Fonoti
2367,Masonry,Outbuilding,115.4,1,Falealili
2370,Masonry,Outbuilding,29.1,1,Vaa o Fonoti
2374,Masonry,Residential,237.4,1,Safata
2382,Masonry,Outbuilding,34.3,1,Aleipata Itupa i Lalo
2382,Masonry,Residential,83.9,1,Falealili
2383,Masonry,Residential,109.6,1,Siumu
2385,Timber,Outbuilding,28.3,1,Aleipata Itupa i Lalo
2386,Masonry,Residential,96.1,1,Falealili
2389,Masonry,Residential,122.2,1,Falealili
2400,Masonry,Residential,87.0,1,Safata
2405,Masonry,Residential,144.0,1,Siumu
2405,Masonry,Residential,148.5,1,Siumu
2412,Masonry,Residential,123.5,1,Vaa o Fonoti
2413,Masonry,Outbuilding,154.4,1,Safata
2420,Masonry,Residential,83.2,1,Falealili
2421,Timber,Hotel,38.1,3,Lepa
2424,Masonry,Outbuilding,49.4,1,Vaa o Fonoti
2433,Masonry,Residential,216.8,1,Siumu
2438,Masonry,Residential,170.3,1,Aleipata Itupa i Lalo
2439,Masonry,Tourist Fale,36.5,1,Safata
2447,Masonry,Outbuilding,141.3,1,Siumu
2451,Masonry,Fale,162.9,1,Lepa
2453,Masonry,Outbuilding,20.6,1,Aleipata Itupa i Lalo
2454,Masonry,Hotel,47.2,2,Aleipata Itupa i Luga
2458,Timber,Outbuilding,23.1,1,Aleipata Itupa i Lalo
2462,Masonry,Outbuilding,98.3,1,Safata
2467,Masonry,Residential,154.2,1,Falealili
2469,Timber,Hotel,18.8,1,Lepa
2470,Masonry,Residential,1790.2,1,Siumu
2474,Masonry,Residential,82.6,1,Vaa o Fonoti
2476,Masonry,Outbuilding,65.9,1,Safata
2480,Masonry,Residential,239.6,1,Siumu
2481,Masonry,Residential,127.8,1,Safata
2492,Masonry,Hotel,95.6,3,Lotofaga
2493,Masonry,Outbuilding,45.7,1,Aleipata Itupa i Lalo
2493,Masonry,Residential,38.1,1,Falealili
